0.00000, 2.82843, 0.00004, 0.00005, 3.50080, 0.00002, 2.87011, 0.00006, 6.24241, 
0.00707, 2.82489, 0.04371, 0.05562, 0.19885, 0.06984, 0.10526, 0.01084, 3.91323, 
0.07071, 2.79318, 0.16689, 0.14986, 0.05155, 0.22251, 0.02480, 0.01350, 5.87641, 
0.01414, 2.82136, 0.09834, 0.01788, 0.08819, 0.08219, 0.01751, 0.05705, 0.00004, 
0.26870, 2.69579, 0.31210, 0.31208, 0.00003, 0.43049, 0.00000, 0.00000, 4.15624, 
0.04950, 2.80373, 0.11467, 0.14827, 6.25424, 0.18515, 6.26711, 0.02423, 3.00920, 
0.02121, 2.81783, 0.12064, 0.02054, 2.14375, 0.07858, 0.15868, 0.09407, 6.15412, 
0.02828, 2.81429, 0.13289, 0.04805, 4.48477, 0.09259, 5.91361, 0.10704, 0.31374, 
0.03536, 2.81078, 0.15772, 0.00696, 3.28813, 0.10703, 6.27386, 0.11671, 6.28319, 
0.62933, 2.52421, 0.48680, 0.48682, 0.00012, 0.64638, 0.00014, 0.00000, 5.47466, 
0.15556, 2.75120, 0.25299, 0.21793, 0.00732, 0.32841, 0.00338, 0.02591, 6.23613, 
0.83439, 2.43078, 0.73490, 0.02723, 6.26335, 0.58143, 6.28284, 0.55290, 0.00046, 
0.12021, 2.76865, 0.28997, 0.00055, 4.71272, 0.20729, 0.00000, 0.20727, 0.00359, 
0.04243, 2.80725, 0.17117, 0.02461, 5.63614, 0.13558, 6.20375, 0.10822, 0.09645, 
0.37477, 2.64448, 0.50565, 0.00784, 2.96761, 0.36551, 0.00207, 0.37549, 0.00000, 
0.08485, 2.78616, 0.20171, 0.14025, 6.21224, 0.24000, 6.25383, 0.04525, 0.14856, 
0.59397, 2.54065, 0.62907, 0.01735, 2.94080, 0.46175, 0.00414, 0.48190, 6.27957, 
0.16971, 2.74424, 0.26823, 0.22315, 6.25645, 0.34227, 6.27127, 0.03379, 0.15771, 
0.25456, 2.70268, 0.26452, 0.33737, 0.02947, 0.41620, 0.01724, 0.05567, 3.27311, 
0.06364, 2.79670, 0.16006, 0.14006, 0.10246, 0.21081, 0.04792, 0.01804, 5.68987, 
0.64347, 2.51766, 0.49268, 0.49262, 0.00025, 0.65307, 0.00011, 0.00000, 3.78936, 
0.84146, 2.42762, 0.73757, 0.03291, 6.27115, 0.58684, 0.00000, 0.55249, 0.00035, 
0.69296, 2.49485, 0.51335, 0.51207, 0.00185, 0.67578, 0.00082, 0.00133, 5.56803, 
0.72832, 2.47868, 0.69135, 0.00196, 2.56013, 0.52575, 0.00104, 0.52772, 6.28232, 
0.67882, 2.50135, 0.50704, 0.50704, 0.00000, 0.66939, 0.00000, 0.00000, 3.54913, 
0.27577, 2.69235, 0.31636, 0.31620, 0.00899, 0.43596, 0.00476, 0.00188, 4.78364, 
0.42426, 2.62077, 0.53658, 0.01383, 3.06195, 0.38654, 0.00170, 0.40371, 0.00000, 
0.18385, 2.73728, 0.21452, 0.29277, 0.03358, 0.35338, 0.01676, 0.05852, 3.28991, 
